tx_id,pme_id,pme_nom,date,type,categorie,montant_devise_origine,devise_origine,montant_xof,taux_change_applique,mode_paiement,reference,justificatif,note
TX00020,PME001,Boutique Électronique Yaoundé,2025-07-06,recette,Commission,113587.73,XOF,113588.0,1.0,Chèque,REF-33416,recu_photo,
TX00432,PME002,Transport Express Douala,2025-07-06,recette,Vente produit,151.35,USD,90807.0,600.0,Virement bancaire,REF-42819,recu_photo,
TX00455,PME002,Transport Express Douala,2025-07-06,depense,Télécom,128717.58,XOF,128718.0,1.0,Mobile Money MTN,REF-13847,capture_momo,
TX00836,PME003,Consulting IT Cameroun,2025-07-06,recette,Vente produit,114.8,USD,68880.0,600.0,Espèces,REF-50378,capture_momo,
TX00860,PME003,Consulting IT Cameroun,2025-07-06,recette,Commission,141262.67,XOF,141263.0,1.0,Virement bancaire,REF-14145,capture_momo,
TX00010,PME001,Boutique Électronique Yaoundé,2025-07-07,recette,Vente produit,96788.02,XOF,96788.0,1.0,Chèque,REF-93227,facture_pdf,
TX00026,PME001,Boutique Électronique Yaoundé,2025-07-07,recette,Prestation service,167.25,USD,100351.0,600.0,Virement bancaire,REF-62296,capture_momo,
TX00043,PME001,Boutique Électronique Yaoundé,2025-07-07,recette,Commission,70945.59,XOF,70946.0,1.0,Espèces,REF-27154,capture_momo,
TX00428,PME002,Transport Express Douala,2025-07-07,recette,Subvention,134.76,EUR,88398.0,655.957,Virement bancaire,REF-52318,capture_momo,
TX00443,PME002,Transport Express Douala,2025-07-07,depense,Impôts,93880.77,XOF,93881.0,1.0,Virement bancaire,REF-94694,recu_photo,
TX00814,PME003,Consulting IT Cameroun,2025-07-07,recette,Prestation service,111331.02,XOF,111331.0,1.0,Mobile Money Orange,REF-50501,facture_pdf,
TX00851,PME003,Consulting IT Cameroun,2025-07-07,recette,Vente produit,52531.94,XOF,52532.0,1.0,Mobile Money Orange,REF-90649,aucun,
TX00029,PME001,Boutique Électronique Yaoundé,2025-07-08,recette,Commission,52094.2,XOF,52094.0,1.0,Mobile Money MTN,REF-77391,facture_pdf,
TX00031,PME001,Boutique Électronique Yaoundé,2025-07-08,recette,Prestation service,103833.13,XOF,103833.0,1.0,Mobile Money MTN,REF-22704,aucun,
TX00070,PME001,Boutique Électronique Yaoundé,2025-07-08,depense,Loyer,107.77,USD,64660.0,600.0,Mobile Money Orange,REF-72277,recu_photo,
TX00072,PME001,Boutique Électronique Yaoundé,2025-07-08,depense,Salaires,228402.49,XOF,228402.0,1.0,Espèces,REF-38683,facture,
TX00437,PME002,Transport Express Douala,2025-07-08,depense,Salaires,125960.69,XOF,125961.0,1.0,Mobile Money MTN,REF-51071,capture_momo,
TX00442,PME002,Transport Express Douala,2025-07-08,depense,Divers,107001.14,XOF,107001.0,1.0,Virement bancaire,REF-13515,capture_momo,
TX00030,PME001,Boutique Électronique Yaoundé,2025-07-09,recette,Prestation service,64282.45,XOF,64282.0,1.0,Chèque,REF-85525,aucun,
TX00063,PME001,Boutique Électronique Yaoundé,2025-07-09,depense,Frais bancaires,152158.97,XOF,152159.0,1.0,Chèque,REF-97900,facture,
TX00381,PME002,Transport Express Douala,2025-07-09,recette,Subvention,52945.19,XOF,52945.0,1.0,Virement bancaire,REF-65194,capture_momo,
TX00406,PME002,Transport Express Douala,2025-07-09,recette,Commission,72786.32,XOF,72786.0,1.0,Chèque,REF-60939,aucun,
TX00418,PME002,Transport Express Douala,2025-07-09,recette,Subvention,88020.12,XOF,88020.0,1.0,Mobile Money MTN,REF-41056,facture_pdf,
TX00423,PME002,Transport Express Douala,2025-07-09,recette,Prestation service,93.18,USD,55907.0,600.0,Mobile Money Orange,REF-29168,capture_momo,
TX00450,PME002,Transport Express Douala,2025-07-09,depense,Transport,31458.13,XOF,31458.0,1.0,Mobile Money Orange,REF-80305,capture_momo,
TX00849,PME003,Consulting IT Cameroun,2025-07-09,recette,Commission,155030.35,XOF,155030.0,1.0,Mobile Money Orange,REF-90516,aucun,
TX00859,PME003,Consulting IT Cameroun,2025-07-09,recette,Subvention,85799.42,XOF,85799.0,1.0,Chèque,REF-31753,aucun,
TX00069,PME001,Boutique Électronique Yaoundé,2025-07-10,depense,Marketing,211829.77,XOF,211830.0,1.0,Mobile Money MTN,REF-40784,capture_momo,
TX00398,PME002,Transport Express Douala,2025-07-10,recette,Remboursement,86509.12,XOF,86509.0,1.0,Espèces,REF-55652,aucun,
TX00409,PME002,Transport Express Douala,2025-07-10,recette,Prestation service,67378.04,XOF,67378.0,1.0,Chèque,REF-60916,aucun,
TX00453,PME002,Transport Express Douala,2025-07-10,depense,Stock/Achats,115417.59,XOF,115418.0,1.0,Mobile Money MTN,REF-11660,facture,
TX00830,PME003,Consulting IT Cameroun,2025-07-10,recette,Remboursement,55757.7,XOF,55758.0,1.0,Mobile Money Orange,REF-70762,aucun,
TX00875,PME003,Consulting IT Cameroun,2025-07-10,depense,Frais bancaires,81850.21,XOF,81850.0,1.0,Mobile Money MTN,REF-71039,facture,
TX00051,PME001,Boutique Électronique Yaoundé,2025-07-11,recette,Commission,92474.23,XOF,92474.0,1.0,Mobile Money Orange,REF-67912,aucun,
TX00385,PME002,Transport Express Douala,2025-07-11,recette,Subvention,82367.06,XOF,82367.0,1.0,Virement bancaire,REF-33283,aucun,
TX00386,PME002,Transport Express Douala,2025-07-11,recette,Subvention,82351.48,XOF,82351.0,1.0,Chèque,REF-41775,capture_momo,
TX00429,PME002,Transport Express Douala,2025-07-11,recette,Subvention,56079.39,XOF,56079.0,1.0,Virement bancaire,REF-99463,recu_photo,
TX00867,PME003,Consulting IT Cameroun,2025-07-11,recette,Remboursement,54870.31,XOF,54870.0,1.0,Virement bancaire,REF-12946,capture_momo,
TX00006,PME001,Boutique Électronique Yaoundé,2025-07-12,recette,Vente produit,90248.4,XOF,90248.0,1.0,Espèces,REF-80284,recu_photo,
TX00016,PME001,Boutique Électronique Yaoundé,2025-07-12,recette,Remboursement,116502.51,XOF,116503.0,1.0,Espèces,REF-21915,recu_photo,
TX00022,PME001,Boutique Électronique Yaoundé,2025-07-12,recette,Remboursement,85958.6,XOF,85959.0,1.0,Mobile Money MTN,REF-88504,capture_momo,
TX00032,PME001,Boutique Électronique Yaoundé,2025-07-12,recette,Vente produit,81134.98,XOF,81135.0,1.0,Mobile Money MTN,REF-17944,aucun,
TX00046,PME001,Boutique Électronique Yaoundé,2025-07-12,recette,Remboursement,79212.3,XOF,79212.0,1.0,Virement bancaire,REF-90173,recu_photo,
TX00064,PME001,Boutique Électronique Yaoundé,2025-07-12,depense,Marketing,307581.96,XOF,307582.0,1.0,Chèque,REF-51145,recu_photo,
TX00433,PME002,Transport Express Douala,2025-07-12,recette,Vente produit,80207.94,XOF,80208.0,1.0,Espèces,REF-91999,capture_momo,
TX00441,PME002,Transport Express Douala,2025-07-12,depense,Stock/Achats,100.01,EUR,65603.0,655.957,Mobile Money Orange,REF-46302,recu_photo,
TX00845,PME003,Consulting IT Cameroun,2025-07-12,recette,Subvention,227.64,USD,136584.0,600.0,Chèque,REF-18509,capture_momo,
TX00009,PME001,Boutique Électronique Yaoundé,2025-07-13,recette,Commission,92378.96,XOF,92379.0,1.0,Mobile Money Orange,REF-58520,capture_momo,
TX00013,PME001,Boutique Électronique Yaoundé,2025-07-13,recette,Remboursement,64065.52,XOF,64066.0,1.0,Virement bancaire,REF-37869,aucun,
TX00014,PME001,Boutique Électronique Yaoundé,2025-07-13,recette,Prestation service,154.76,USD,92857.0,600.0,Virement bancaire,REF-28301,facture_pdf,
TX00018,PME001,Boutique Électronique Yaoundé,2025-07-13,recette,Commission,81203.33,XOF,81203.0,1.0,Chèque,REF-11504,recu_photo,
TX00059,PME001,Boutique Électronique Yaoundé,2025-07-13,recette,Commission,107623.53,XOF,107624.0,1.0,Virement bancaire,REF-94080,aucun,
TX00067,PME001,Boutique Électronique Yaoundé,2025-07-13,depense,Télécom,20123.03,XOF,20123.0,1.0,Mobile Money Orange,REF-66346,capture_momo,
TX00387,PME002,Transport Express Douala,2025-07-13,recette,Commission,86583.44,XOF,86583.0,1.0,Mobile Money MTN,REF-83905,facture_pdf,
TX00403,PME002,Transport Express Douala,2025-07-13,recette,Prestation service,78587.74,XOF,78588.0,1.0,Espèces,REF-87621,aucun,
TX00404,PME002,Transport Express Douala,2025-07-13,recette,Commission,59999.13,XOF,59999.0,1.0,Mobile Money MTN,REF-85674,recu_photo,
TX00446,PME002,Transport Express Douala,2025-07-13,depense,Marketing,170.69,USD,102415.0,600.0,Chèque,REF-99514,facture,
TX00451,PME002,Transport Express Douala,2025-07-13,depense,Salaires,130667.5,XOF,130667.0,1.0,Virement bancaire,REF-67342,facture,
TX00826,PME003,Consulting IT Cameroun,2025-07-13,recette,Remboursement,128371.61,XOF,128372.0,1.0,Chèque,REF-78843,recu_photo,
TX00829,PME003,Consulting IT Cameroun,2025-07-13,recette,Commission,219.44,USD,131666.0,600.0,Espèces,REF-31821,aucun,
TX00835,PME003,Consulting IT Cameroun,2025-07-13,recette,Prestation service,54634.53,XOF,54635.0,1.0,Virement bancaire,REF-84120,facture_pdf,
TX00866,PME003,Consulting IT Cameroun,2025-07-13,recette,Vente produit,105136.4,XOF,105136.0,1.0,Virement bancaire,REF-15771,recu_photo,
TX00036,PME001,Boutique Électronique Yaoundé,2025-07-14,recette,Subvention,64249.82,XOF,64250.0,1.0,Mobile Money MTN,REF-31579,aucun,
TX00413,PME002,Transport Express Douala,2025-07-14,recette,Subvention,69348.31,XOF,69348.0,1.0,Espèces,REF-31922,recu_photo,
TX00815,PME003,Consulting IT Cameroun,2025-07-14,recette,Prestation service,233.24,EUR,152999.0,655.957,Chèque,REF-30715,capture_momo,
TX00823,PME003,Consulting IT Cameroun,2025-07-14,recette,Prestation service,120863.57,XOF,120864.0,1.0,Mobile Money Orange,REF-18668,facture_pdf,
TX00832,PME003,Consulting IT Cameroun,2025-07-14,recette,Subvention,52629.61,XOF,52630.0,1.0,Chèque,REF-36467,aucun,
TX00843,PME003,Consulting IT Cameroun,2025-07-14,recette,Commission,102.19,EUR,67030.0,655.957,Chèque,REF-96628,facture_pdf,
TX00852,PME003,Consulting IT Cameroun,2025-07-14,recette,Prestation service,86907.5,XOF,86908.0,1.0,Mobile Money MTN,REF-93967,facture_pdf,
TX00861,PME003,Consulting IT Cameroun,2025-07-14,recette,Commission,142577.37,XOF,142577.0,1.0,Espèces,REF-49666,facture_pdf,
TX00874,PME003,Consulting IT Cameroun,2025-07-14,depense,Divers,239960.08,XOF,239960.0,1.0,Espèces,REF-90781,capture_momo,
TX00027,PME001,Boutique Électronique Yaoundé,2025-07-15,recette,Prestation service,133.5,USD,80099.0,600.0,Mobile Money Orange,REF-18392,capture_momo,
TX00044,PME001,Boutique Électronique Yaoundé,2025-07-15,recette,Vente produit,100124.3,XOF,100124.0,1.0,Mobile Money MTN,REF-70068,recu_photo,
TX00068,PME001,Boutique Électronique Yaoundé,2025-07-15,depense,Frais bancaires,224767.02,XOF,224767.0,1.0,Espèces,REF-32241,recu_photo,
TX00071,PME001,Boutique Électronique Yaoundé,2025-07-15,depense,Transport,210867.35,XOF,210867.0,1.0,Espèces,REF-74799,aucun,
TX00383,PME002,Transport Express Douala,2025-07-15,recette,Subvention,64182.35,XOF,64182.0,1.0,Virement bancaire,REF-91289,aucun,
TX00389,PME002,Transport Express Douala,2025-07-15,recette,Vente produit,88697.6,XOF,88698.0,1.0,Espèces,REF-98208,aucun,
TX00391,PME002,Transport Express Douala,2025-07-15,recette,Subvention,110.23,EUR,72309.0,655.957,Chèque,REF-76402,aucun,
TX00396,PME002,Transport Express Douala,2025-07-15,recette,Remboursement,71556.39,XOF,71556.0,1.0,Chèque,REF-29758,capture_momo,
TX00431,PME002,Transport Express Douala,2025-07-15,recette,Subvention,96171.78,XOF,96172.0,1.0,Mobile Money Orange,REF-27290,capture_momo,
TX00840,PME003,Consulting IT Cameroun,2025-07-15,recette,Prestation service,113344.11,XOF,113344.0,1.0,Chèque,REF-46452,facture_pdf,
TX00844,PME003,Consulting IT Cameroun,2025-07-15,recette,Vente produit,88019.91,XOF,88020.0,1.0,Mobile Money MTN,REF-49229,capture_momo,
TX00023,PME001,Boutique Électronique Yaoundé,2025-07-16,recette,Commission,111939.91,XOF,111940.0,1.0,Mobile Money Orange,REF-17592,facture_pdf,
TX00382,PME002,Transport Express Douala,2025-07-16,recette,Prestation service,66810.99,XOF,66811.0,1.0,Espèces,REF-87831,facture_pdf,
TX00435,PME002,Transport Express Douala,2025-07-16,recette,Remboursement,77636.8,XOF,77637.0,1.0,Espèces,REF-11217,recu_photo,
TX00445,PME002,Transport Express Douala,2025-07-16,depense,Loyer,30296.74,XOF,30297.0,1.0,Virement bancaire,REF-51480,facture,
TX00822,PME003,Consulting IT Cameroun,2025-07-16,recette,Vente produit,70399.65,XOF,70400.0,1.0,Espèces,REF-11967,capture_momo,
TX00846,PME003,Consulting IT Cameroun,2025-07-16,recette,Commission,123320.94,XOF,123321.0,1.0,Virement bancaire,REF-79081,aucun,
TX00848,PME003,Consulting IT Cameroun,2025-07-16,recette,Commission,113837.68,XOF,113838.0,1.0,Espèces,REF-89802,capture_momo,
TX00821,PME003,Consulting IT Cameroun,2025-07-17,recette,Commission,99480.59,XOF,99481.0,1.0,Mobile Money Orange,REF-60785,aucun,
TX00827,PME003,Consulting IT Cameroun,2025-07-17,recette,Vente produit,98228.38,XOF,98228.0,1.0,Mobile Money Orange,REF-77987,aucun,
TX00847,PME003,Consulting IT Cameroun,2025-07-17,recette,Vente produit,72066.49,XOF,72066.0,1.0,Mobile Money MTN,REF-84890,recu_photo,
TX00850,PME003,Consulting IT Cameroun,2025-07-17,recette,Prestation service,102539.34,XOF,102539.0,1.0,Chèque,REF-40503,capture_momo,
TX00862,PME003,Consulting IT Cameroun,2025-07-17,recette,Vente produit,61846.63,XOF,61847.0,1.0,Mobile Money Orange,REF-22137,aucun,
TX00863,PME003,Consulting IT Cameroun,2025-07-17,recette,Remboursement,100947.78,XOF,100948.0,1.0,Mobile Money Orange,REF-34931,capture_momo,
TX00881,PME003,Consulting IT Cameroun,2025-07-17,depense,Salaires,275193.3,XOF,275193.0,1.0,Virement bancaire,REF-82895,recu_photo,
TX00003,PME001,Boutique Électronique Yaoundé,2025-07-18,recette,Remboursement,93325.63,XOF,93326.0,1.0,Espèces,REF-38893,aucun,
TX00011,PME001,Boutique Électronique Yaoundé,2025-07-18,recette,Subvention,60893.5,XOF,60893.0,1.0,Virement bancaire,REF-93886,facture_pdf,
TX00052,PME001,Boutique Électronique Yaoundé,2025-07-18,recette,Prestation service,55016.26,XOF,55016.0,1.0,Chèque,REF-14722,capture_momo,
TX00066,PME001,Boutique Électronique Yaoundé,2025-07-18,depense,Impôts,147427.58,XOF,147428.0,1.0,Mobile Money Orange,REF-90676,capture_momo,
TX00392,PME002,Transport Express Douala,2025-07-18,recette,Remboursement,95081.99,XOF,95082.0,1.0,Chèque,REF-93647,recu_photo,
TX00402,PME002,Transport Express Douala,2025-07-18,recette,Subvention,71509.42,XOF,71509.0,1.0,Mobile Money Orange,REF-34430,aucun,
TX00411,PME002,Transport Express Douala,2025-07-18,recette,Prestation service,63445.76,XOF,63446.0,1.0,Virement bancaire,REF-69113,recu_photo,
TX00415,PME002,Transport Express Douala,2025-07-18,recette,Remboursement,86344.8,XOF,86345.0,1.0,Espèces,REF-82053,recu_photo,
TX00417,PME002,Transport Express Douala,2025-07-18,recette,Prestation service,69791.68,XOF,69792.0,1.0,Virement bancaire,REF-14224,aucun,
TX00858,PME003,Consulting IT Cameroun,2025-07-18,recette,Commission,71983.26,XOF,71983.0,1.0,Virement bancaire,REF-18678,facture_pdf,
TX00871,PME003,Consulting IT Cameroun,2025-07-18,depense,Télécom,64185.95,XOF,64186.0,1.0,Chèque,REF-42089,facture,
TX00002,PME001,Boutique Électronique Yaoundé,2025-07-19,recette,Prestation service,51986.48,XOF,51986.0,1.0,Mobile Money Orange,REF-76237,recu_photo,
TX00004,PME001,Boutique Électronique Yaoundé,2025-07-19,recette,Prestation service,107953.35,XOF,107953.0,1.0,Espèces,REF-54597,capture_momo,
TX00053,PME001,Boutique Électronique Yaoundé,2025-07-19,recette,Vente produit,78652.45,XOF,78652.0,1.0,Virement bancaire,REF-57795,recu_photo,
TX00061,PME001,Boutique Électronique Yaoundé,2025-07-19,depense,Salaires,153.15,EUR,100457.0,655.957,Chèque,REF-66959,capture_momo,
TX00380,PME002,Transport Express Douala,2025-07-19,recette,Prestation service,81902.64,XOF,81903.0,1.0,Mobile Money Orange,REF-45247,capture_momo,
TX00388,PME002,Transport Express Douala,2025-07-19,recette,Remboursement,88.99,EUR,58376.0,655.957,Mobile Money MTN,REF-70505,facture_pdf,
TX00394,PME002,Transport Express Douala,2025-07-19,recette,Subvention,124.3,EUR,81537.0,655.957,Virement bancaire,REF-66420,recu_photo,
TX00407,PME002,Transport Express Douala,2025-07-19,recette,Subvention,66385.51,XOF,66386.0,1.0,Chèque,REF-32613,capture_momo,
TX00414,PME002,Transport Express Douala,2025-07-19,recette,Commission,85428.5,XOF,85428.0,1.0,Mobile Money MTN,REF-46025,facture_pdf,
TX00416,PME002,Transport Express Douala,2025-07-19,recette,Commission,86082.85,XOF,86083.0,1.0,Chèque,REF-15453,aucun,
TX00042,PME001,Boutique Électronique Yaoundé,2025-07-20,recette,Remboursement,93824.88,XOF,93825.0,1.0,Chèque,REF-51467,capture_momo,
TX00055,PME001,Boutique Électronique Yaoundé,2025-07-20,recette,Prestation service,111717.59,XOF,111718.0,1.0,Mobile Money Orange,REF-33206,aucun,
TX00410,PME002,Transport Express Douala,2025-07-20,recette,Prestation service,67862.36,XOF,67862.0,1.0,Espèces,REF-93296,facture_pdf,
TX00421,PME002,Transport Express Douala,2025-07-20,recette,Commission,65066.63,XOF,65067.0,1.0,Virement bancaire,REF-85069,capture_momo,
TX00439,PME002,Transport Express Douala,2025-07-20,depense,Transport,83814.42,XOF,83814.0,1.0,Mobile Money Orange,REF-63963,aucun,
TX00820,PME003,Consulting IT Cameroun,2025-07-20,recette,Commission,122556.55,XOF,122557.0,1.0,Mobile Money MTN,REF-72469,facture_pdf,
TX00839,PME003,Consulting IT Cameroun,2025-07-20,recette,Remboursement,125.18,USD,75109.0,600.0,Espèces,REF-69472,aucun,
TX00425,PME002,Transport Express Douala,2025-07-21,recette,Vente produit,71040.99,XOF,71041.0,1.0,Espèces,REF-77582,capture_momo,
TX00449,PME002,Transport Express Douala,2025-07-21,depense,Impôts,131230.95,XOF,131231.0,1.0,Espèces,REF-20803,facture,
TX00856,PME003,Consulting IT Cameroun,2025-07-21,recette,Subvention,66401.89,XOF,66402.0,1.0,Chèque,REF-53923,aucun,
TX00868,PME003,Consulting IT Cameroun,2025-07-21,depense,Transport,200.27,USD,120161.0,600.0,Virement bancaire,REF-46261,capture_momo,
TX00012,PME001,Boutique Électronique Yaoundé,2025-07-22,recette,Vente produit,101220.91,XOF,101221.0,1.0,Mobile Money Orange,REF-14207,capture_momo,
TX00019,PME001,Boutique Électronique Yaoundé,2025-07-22,recette,Commission,166.76,USD,100059.0,600.0,Mobile Money MTN,REF-48469,aucun,
TX00041,PME001,Boutique Électronique Yaoundé,2025-07-22,recette,Remboursement,128.2,USD,76918.0,600.0,Mobile Money Orange,REF-85880,recu_photo,
TX00047,PME001,Boutique Électronique Yaoundé,2025-07-22,recette,Vente produit,69958.58,XOF,69959.0,1.0,Mobile Money Orange,REF-44664,recu_photo,
TX00060,PME001,Boutique Électronique Yaoundé,2025-07-22,recette,Vente produit,130.72,EUR,85748.0,655.957,Mobile Money MTN,REF-44237,facture_pdf,
TX00842,PME003,Consulting IT Cameroun,2025-07-22,recette,Commission,113680.13,XOF,113680.0,1.0,Mobile Money MTN,REF-16426,recu_photo,
TX00877,PME003,Consulting IT Cameroun,2025-07-22,depense,Maintenance,259255.47,XOF,259255.0,1.0,Mobile Money Orange,REF-39333,facture,
TX00008,PME001,Boutique Électronique Yaoundé,2025-07-23,recette,Commission,94084.22,XOF,94084.0,1.0,Mobile Money MTN,REF-40512,recu_photo,
TX00049,PME001,Boutique Électronique Yaoundé,2025-07-23,recette,Commission,95833.14,XOF,95833.0,1.0,Chèque,REF-74032,capture_momo,
TX00426,PME002,Transport Express Douala,2025-07-23,recette,Subvention,102.42,EUR,67181.0,655.957,Virement bancaire,REF-86278,recu_photo,
TX00436,PME002,Transport Express Douala,2025-07-23,recette,Subvention,55613.85,XOF,55614.0,1.0,Mobile Money Orange,REF-72613,recu_photo,
TX00454,PME002,Transport Express Douala,2025-07-23,depense,Marketing,91979.88,XOF,91980.0,1.0,Chèque,REF-77793,capture_momo,
TX00834,PME003,Consulting IT Cameroun,2025-07-23,recette,Remboursement,88310.69,XOF,88311.0,1.0,Espèces,REF-77065,facture_pdf,
TX00853,PME003,Consulting IT Cameroun,2025-07-23,recette,Commission,133409.53,XOF,133410.0,1.0,Virement bancaire,REF-76412,capture_momo,
TX00015,PME001,Boutique Électronique Yaoundé,2025-07-24,recette,Remboursement,67516.11,XOF,67516.0,1.0,Espèces,REF-86484,aucun,
TX00033,PME001,Boutique Électronique Yaoundé,2025-07-24,recette,Prestation service,107444.84,XOF,107445.0,1.0,Mobile Money Orange,REF-34931,aucun,
TX00039,PME001,Boutique Électronique Yaoundé,2025-07-24,recette,Subvention,53342.82,XOF,53343.0,1.0,Chèque,REF-79615,facture_pdf,
TX00062,PME001,Boutique Électronique Yaoundé,2025-07-24,depense,Frais bancaires,152260.92,XOF,152261.0,1.0,Mobile Money MTN,REF-60488,facture,
TX00065,PME001,Boutique Électronique Yaoundé,2025-07-24,depense,Impôts,264.8,EUR,173697.0,655.957,Virement bancaire,REF-62743,capture_momo,
TX00434,PME002,Transport Express Douala,2025-07-24,recette,Vente produit,60899.8,XOF,60900.0,1.0,Mobile Money MTN,REF-10142,facture_pdf,
TX00817,PME003,Consulting IT Cameroun,2025-07-24,recette,Subvention,83639.23,XOF,83639.0,1.0,Espèces,REF-49760,aucun,
TX00818,PME003,Consulting IT Cameroun,2025-07-24,recette,Commission,220.11,EUR,144380.0,655.957,Mobile Money Orange,REF-34632,recu_photo,
TX00828,PME003,Consulting IT Cameroun,2025-07-24,recette,Vente produit,90892.0,XOF,90892.0,1.0,Mobile Money Orange,REF-48165,aucun,
TX00837,PME003,Consulting IT Cameroun,2025-07-24,recette,Prestation service,97105.04,XOF,97105.0,1.0,Mobile Money MTN,REF-27245,facture_pdf,
TX00447,PME002,Transport Express Douala,2025-07-25,depense,Salaires,163168.11,XOF,163168.0,1.0,Mobile Money MTN,REF-86986,recu_photo,
TX00854,PME003,Consulting IT Cameroun,2025-07-25,recette,Commission,122393.78,XOF,122394.0,1.0,Espèces,REF-84569,recu_photo,
TX00869,PME003,Consulting IT Cameroun,2025-07-25,depense,Stock/Achats,56723.87,XOF,56724.0,1.0,Mobile Money Orange,REF-45866,recu_photo,
TX00057,PME001,Boutique Électronique Yaoundé,2025-07-26,recette,Vente produit,75502.78,XOF,75503.0,1.0,Espèces,REF-39154,facture_pdf,
